source	interaction	target
P16220	1	Q9Y5K6
P08047	1	Q9Y5K6
Q08209	1	Q92934
Q08209	1	Q13469
Q08209	1	O95644
Q08209	1	O00429
Q08209	1	Q8WYL5
Q08209	1	Q12968
Q9BXM7	1	P0CG48
P68400	1	P35579
Q00535	1	P12931
P06241	1	Q00535
Q00535	1	Q8NER1
Q00535	1	Q9GZM8
Q00535	1	P26358
Q00535	1	P05067
Q00535	1	P42858
Q00535	1	Q13315
Q00535	1	O94916
Q00535	1	Q05397
Q00535	1	P04637
P00519	1	Q00535
Q00535	1	P15311
Q00535	1	O15516
Q00535	1	Q02078
Q00535	1	P10275
Q00535	1	P49768
Q00535	1	Q9Y490
Q00535	1	P40763
Q00535	1	O43464
Q00535	1	P04150
Q00535	1	P31146
Q00535	1	O75553
Q00535	1	Q8IWU2
Q00535	1	Q14195
P53355	1	P09493
P17252	1	Q13976
Q13976	1	P41220
Q13976	1	P50552
Q13976	1	P78347
Q13976	1	Q03393
P49674	1	Q9GZV5
Q9GZV5	1	Q15796
Q9GZV5	1	P84022
Q9GZV5	1	Q15561
Q9GZV5	1	Q15361
Q9GZV5	1	P28347
Q9GZV5	1	Q15562
Q9GZV5	1	Q99594
P12931	1	Q00610
Q676U5	1	Q00610
Q13492	1	Q00610
Q13438	1	Q9GZT9
Q13438	1	Q9H6Z9
P17612	1	Q14643
P06241	1	Q14643
P50148	1	Q9NQ66
P29992	1	Q9NQ66
Q9NQ66	1	P29992
P62873	1	Q9NQ66
P30556	1	P50148
P30556	1	Q14344
P01019	1	P30556
P30556	1	Q9UBI6
P21980	1	Q9Y653
P12931	1	Q13813
P12931	1	P19174
P17612	1	P12931
P17252	1	P12931
P12931	1	P04083
P12931	1	P35222
P18031	1	P12931
P12931	1	P63244
P12931	1	P16885
P12931	1	Q14247
P12931	1	P00533
P12931	1	Q9HBA0
P12931	1	Q03135
P49407	1	P12931
P12931	1	Q8NER1
P12931	1	Q05655
Q05655	1	P12931
P12931	1	Q9UKT4
P12931	1	P37173
P09619	1	P12931
P12931	1	O15111
P12931	1	P42684
P12931	1	P01112
P12931	1	O15492
P12931	1	P35968
P12931	1	P42229
P12931	1	Q68CZ2
P12931	1	P03372
P12931	1	O60716
P12931	1	O15530
P12931	1	P06396
P12931	1	P31749
P12931	1	Q9Y371
P12931	1	P06733
P12931	1	Q13905
P12931	1	Q05397
Q05397	1	P12931
P12931	1	P29350
P29350	1	P12931
P12931	1	P42224
P12931	1	P63000
Q99835	1	P12931
P12931	1	Q13480
P12931	1	Q06187
P12931	1	P42336
P07900	1	P12931
P12931	1	P00519
P12931	1	P29353
P12931	1	P49023
P12931	1	P15311
P12931	1	P25963
P12931	1	P05107
P12931	1	P19793
P12931	1	P01135
P12931	1	P04049
P12931	1	Q86UR1
P12931	1	Q13322
P12931	1	P56945
P12931	1	P10275
P12931	1	P22681
P12931	1	P01111
P12931	1	O15162
P12931	1	Q04206
P12931	1	P51812
P12931	1	P28482
Q06124	1	P12931
P12931	1	Q9NRY4
P12931	1	P10301
P12931	1	P37231
P12931	1	P41743
P12931	1	P61978
P12931	1	P60953
P12931	1	Q13177
P12931	1	P08238
P12931	1	P40763
P12931	1	Q9ULV8
P12931	1	Q13009
P12931	1	P10398
P12931	1	P51692
P12931	1	O14920
P12931	1	P13688
P12931	1	P07355
P12931	1	P12318
A7KAX9	1	P12931
P41240	1	P12931
P12931	1	P51636
P12931	1	P52735
P12931	1	P20936
P12931	1	Q15654
P12931	1	Q9UGK3
P12931	1	O15357
P12931	1	Q9NZC7
P12931	1	P15514
P12931	1	P43405
P16234	1	P12931
P12931	1	P20138
P12931	1	O43597
P12931	1	P09327
P12931	1	P01116
P12931	1	P33151
P12931	1	Q14289
Q14289	1	P12931
P12931	1	P35916
P12931	1	Q15746
P12931	1	Q9Y2X7
P12931	1	P18433
P18433	1	P12931
P12931	1	O15020
P12931	1	P78352
P12931	1	Q92558
P12931	1	P16662
